model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
1,2016,8498,1,41772.0,4,30,55.4,1.0
5,2015,8298,1,15673.0,4,0,65.7,1.0
6,2015,8498,1,47219.0,0,0,74.3,1.5
6,2018,12998,1,16081.0,4,150,57.7,1.0
6,2019,16998,1,10476.0,4,145,60.1,1.0
5,2016,9998,1,16647.0,4,0,65.7,1.0
13,2017,13698,1,41457.0,0,150,54.3,2.0
6,2017,13998,2,4735.0,4,125,51.4,1.0
2,2016,9498,1,24045.0,4,125,53.3,1.0
2,2019,15984,1,6500.0,4,145,51.4,1.0
2,2017,8489,1,60190.0,4,160,44.8,1.5
5,2017,9995,1,27000.0,0,0,78.5,1.5
5,2017,8498,1,32538.0,4,0,65.7,1.0
13,2016,13498,1,36345.0,0,150,54.3,2.0
6,2016,8998,1,43623.0,4,20,61.4,1.0
13,2013,9998,2,58500.0,0,200,45.6,2.0
13,2017,17498,1,15729.0,0,145,54.3,2.0
5,2018,9998,1,7892.0,4,145,65.7,1.0
5,2017,11990,1,24725.0,4,145,47.9,1.6
6,2019,16899,1,7000.0,0,145,80.7,1.5
2,2019,15984,1,3500.0,4,145,51.4,1.0
2,2019,15984,1,4500.0,4,145,51.4,1.0
2,2019,15984,1,4000.0,4,145,51.4,1.0
2,2019,13998,1,4889.0,0,145,68.9,1.5
13,2017,17994,1,20633.0,0,150,54.3,2.0
8,2016,17489,2,47937.0,0,165,51.4,2.0
13,2018,19899,2,28500.0,0,145,54.3,2.0
5,2014,4699,1,85000.0,4,30,54.3,1.2
2,2017,9949,1,23000.0,4,125,53.3,1.0
1,2017,11498,1,9995.0,4,145,55.4,1.0
1,2017,10898,1,12626.0,4,30,55.4,1.0
1,2018,12998,1,7320.0,4,145,55.4,1.0
1,2019,13498,1,23394.0,4,145,48.7,1.0
1,2017,9998,1,12932.0,0,20,68.9,1.5
6,2019,18998,0,22246.0,0,150,64.2,2.0
5,2019,11798,1,5530.0,4,150,48.7,1.1
5,2019,11798,1,4590.0,4,150,48.7,1.1
5,2017,8498,1,28479.0,4,0,65.7,1.0
13,2013,8998,1,67895.0,0,200,47.9,2.0
6,2019,14799,1,6249.0,4,145,60.1,1.0
6,2019,14799,1,8560.0,4,145,60.1,1.0
15,2020,42489,0,3500.0,4,145,22.1,5.0
13,2017,17498,1,9940.0,4,145,45.6,1.5
6,2019,16498,1,4930.0,4,145,60.1,1.0
6,2018,19698,1,12011.0,4,145,41.5,2.0
5,2016,8498,1,23053.0,4,125,54.3,1.2
6,2016,16998,1,17589.0,4,200,41.5,2.0
6,2019,14998,1,7000.0,4,145,58.9,1.0
10,2019,19999,1,3500.0,0,145,61.4,1.5
13,2019,20999,0,5500.0,0,145,47.9,2.0
6,2019,14998,1,7000.0,4,145,60.1,1.0
2,2019,13998,1,5000.0,0,145,68.9,1.5
13,2017,13898,1,33026.0,0,145,60.1,2.0
5,2016,11498,1,8560.0,4,0,65.7,1.0
6,2018,19698,1,16548.0,4,145,41.5,2.0
6,2017,10498,1,49485.0,0,0,74.3,1.5
14,2017,17498,2,14569.0,0,145,53.3,2.0
13,2015,12498,1,60151.0,0,145,54.3,2.0
6,2017,11498,1,9148.0,4,145,61.4,1.0
